#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByEdgeSampleAndCount 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,15555,777,0.001
#EstTriByEdgeSampleAndCount
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
1.722,1.337,6.492,1.427 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.050,0.775

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
540353495.757,0.050,0.770
541655582.898,0.050,0.770
550430836.836,0.050,0.763
544613780.871,0.050,0.771
555995875.936,0.050,0.771
577177960.185,0.050,0.767
556569914.353,0.050,0.765
572145623.402,0.050,0.769
554227090.896,0.050,0.770
543321027.689,0.050,0.766
543928401.670,0.050,0.769
539950135.430,0.050,0.767
513041001.239,0.050,0.770
549271425.911,0.050,0.770
562566982.365,0.050,0.763
537519306.083,0.050,0.761
546779925.838,0.050,0.765
558733392.474,0.050,0.766
547267291.787,0.050,0.767
561730259.702,0.050,0.765
544293092.743,0.050,0.766
555527177.902,0.050,0.769
546503240.654,0.050,0.764
534086409.675,0.050,0.768
578452712.162,0.050,0.761
532652313.700,0.050,0.763
516669244.054,0.050,0.775
522810988.416,0.050,0.773
551813596.042,0.050,0.765
560122818.793,0.050,0.766
553592381.752,0.050,0.763
530777521.565,0.050,0.765
539210752.614,0.050,0.771
533919065.142,0.050,0.767
548121348.944,0.050,0.771
555530511.459,0.050,0.767
542926334.608,0.050,0.768
546008540.880,0.050,0.766
529492768.918,0.050,0.768
534098410.478,0.050,0.767
548124015.789,0.050,0.768
562024279.379,0.050,0.768
573260364.672,0.050,0.763
563339700.745,0.050,0.765
571459577.490,0.050,0.764
557284628.850,0.050,0.769
544643782.879,0.050,0.772
546084545.967,0.050,0.768
558211357.537,0.050,0.762
550072146.165,0.050,0.767
555361833.503,0.050,0.769
538208018.841,0.050,0.770
547811328.196,0.050,0.769
543441035.720,0.050,0.765
531730918.703,0.050,0.771
548110014.852,0.050,0.768
564202425.148,0.050,0.764
556164553.891,0.050,0.766
537878663.466,0.050,0.766
554044412.003,0.050,0.768
556376568.080,0.050,0.768
555256493.120,0.050,0.767
540213486.387,0.050,0.766
533469701.736,0.050,0.768
546429902.413,0.050,0.767
548133349.747,0.050,0.769
532615644.579,0.050,0.770
537827326.697,0.050,0.767
547313961.577,0.050,0.770
559279429.016,0.050,0.765
528398028.987,0.050,0.769
547446637.123,0.050,0.766
541252222.570,0.050,0.769
546763258.055,0.050,0.769
550139484.005,0.050,0.765
554794462.199,0.050,0.765
555863200.390,0.050,0.764
550715522.555,0.050,0.768
556542579.190,0.050,0.767
550848864.812,0.050,0.764
561938273.623,0.050,0.765
541881598.024,0.050,0.769
542923667.763,0.050,0.764
517835322.093,0.050,0.764
552629650.656,0.050,0.765
547093280.142,0.050,0.765
568970077.550,0.050,0.762
542092945.501,0.050,0.767
559786796.305,0.050,0.763
534355094.323,0.050,0.770
553441038.290,0.050,0.765
561179556.180,0.050,0.766
554610449.885,0.050,0.768
544041742.588,0.050,0.767
545609847.532,0.050,0.770
539150748.599,0.050,0.766
565700525.406,0.050,0.766
549490773.924,0.050,0.767
554777794.417,0.050,0.764
545193152.978,0.050,0.762
