#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,7777,388,0.000
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
4763747050.419,212934.929,396978940344.891,39809864282.594 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.025,0.204

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
1508986559181.211,0.024,0.197
1182531827354.138,0.025,0.202
911211096725.364,0.025,0.201
530094539375.567,0.025,0.202
1734965022139.278,0.025,0.200
1862210266138.125,0.024,0.198
930567419212.258,0.025,0.202
2559671205944.574,0.025,0.198
846781348847.770,0.025,0.202
229717214342683040.000,0.000,0.001
669386615832.192,0.025,0.201
1166035068458.209,0.024,0.199
665210574158.413,0.025,0.203
1079449551128.804,0.025,0.199
1179953112914.009,0.024,0.197
1226860450013.409,0.024,0.199
935675070104.398,0.025,0.200
1110773713304.848,0.025,0.202
811497066746.309,0.025,0.198
930567419212.258,0.025,0.202
1222078988588.291,0.024,0.194
3337503597991.302,0.025,0.198
798252688990.096,0.025,0.202
594498550170.034,0.025,0.202
809587163346.603,0.025,0.198
743288118296.274,0.025,0.200
615852932422.331,0.024,0.199
1191782360506.243,0.025,0.200
1748608197286.119,0.025,0.197
1168834684418.817,0.025,0.204
1056886311413.394,0.025,0.202
728311442531.593,0.025,0.202
459873488415.498,0.025,0.203
988517093741.410,0.025,0.202
1736322938870.384,0.025,0.197
888863981282.305,0.024,0.196
1808759906450.704,0.025,0.198
1162360590907.630,0.024,0.198
1747237456666.055,0.025,0.196
1086258148532.271,0.025,0.198
1494780712473.042,0.025,0.197
1689809944439.965,0.024,0.196
1329382027446.083,0.025,0.200
721534744935.895,0.025,0.203
1466899517778.221,0.025,0.202
1685316376806.421,0.025,0.199
1019971162572.269,0.025,0.199
1228795560776.976,0.024,0.199
196018890583.208,0.025,0.203
1221079441716.550,0.025,0.199
842219183593.340,0.024,0.199
1605270486028.775,0.025,0.199
2633225176525.051,0.025,0.199
1564502377391.753,0.025,0.203
1076910998221.694,0.025,0.201
933481511313.413,0.025,0.199
1806065286164.383,0.024,0.195
1309408337087.152,0.024,0.199
1174288025651.098,0.025,0.201
456313193405.928,0.025,0.201
656451136862.543,0.025,0.201
783466808041.445,0.025,0.202
723784267075.378,0.025,0.201
926218980378.068,0.025,0.200
603392476607.966,0.025,0.201
934943120930.207,0.025,0.201
0.000,0.000,0.001
3303220098540.586,0.025,0.198
1044442913203.940,0.024,0.196
1482985067890.274,0.022,0.175
745042534846.821,0.025,0.200
1502811494471.265,0.025,0.203
1765169491364.940,0.025,0.199
1624270072218.420,0.025,0.197
3070962619136.933,0.025,0.201
1148718001003.333,0.025,0.198
1224929400341.804,0.024,0.198
1500678052001.206,0.024,0.198
1011189826083.853,0.025,0.202
0.000,0.000,0.000
1396942205732.667,0.025,0.199
1147816102587.843,0.025,0.201
1246396080416.972,0.024,0.195
1336678671577.711,0.025,0.200
205770894433801536.000,0.000,0.001
906982745728.011,0.025,0.203
664691013723.041,0.025,0.198
1233651175143.335,0.024,0.199
2178059513767661568.000,0.000,0.000
1262912926073.778,0.025,0.201
1019971162572.269,0.025,0.201
3055489909931.107,0.023,0.181
1224929400341.804,0.024,0.200
6422007813277.461,0.024,0.188
560141538605.870,0.024,0.199
873618728333.027,0.025,0.198
1314598903218.133,0.024,0.198
924775522486.719,0.025,0.201
2127474718438.933,0.024,0.195
1754623299152.792,0.024,0.196
