#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRWAndCountPerEdge 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,3111,155,0.000
#EstTriByRWAndCountPerEdge
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
19.554,13.923,100.000,17.074 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
5.046,11.833

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
667846432.336,4.543,10.163
543239383.640,4.526,11.337
691867550.314,4.373,9.894
551238642.666,4.154,9.922
498404853.889,4.141,11.015
774617700.902,4.872,10.591
490388922.793,4.057,10.203
616643171.973,4.311,10.371
641414533.085,4.664,10.841
498041402.770,3.693,9.755
624792479.626,4.506,11.167
437285046.487,3.802,10.720
400116334.370,3.216,9.681
646746260.965,4.309,9.779
525230213.985,4.140,10.591
338829806.271,3.634,11.095
532475895.462,3.976,10.432
382017135.539,3.677,10.705
592662066.963,4.544,11.327
569978048.973,4.167,9.997
619647478.927,4.505,10.592
682484509.505,4.737,10.284
23947760.871,0.000,0.000
435197703.365,3.685,10.340
602531932.206,4.359,10.175
633445283.784,4.476,10.051
576233409.512,4.341,10.611
388575927.746,3.812,11.100
623118603.832,4.400,10.250
698029547.263,4.882,10.901
437021627.786,4.031,11.272
0.000,0.000,0.001
611884963.290,4.357,10.370
496647617.746,4.295,11.604
477631455.083,4.168,10.897
412597045.723,3.911,10.896
573002362.411,4.516,11.178
608350484.520,3.854,9.354
687756217.934,4.549,10.268
744734683.230,4.702,10.426
749542908.122,4.891,10.322
417321910.267,3.904,11.447
562762377.221,4.474,11.379
393314129.946,3.612,10.501
543876256.701,4.289,10.709
450075858.336,4.425,11.751
286459501.031,3.502,11.084
479382022.398,3.937,10.879
578900940.659,4.207,10.308
761093317.988,4.714,10.217
473009957.371,4.022,9.889
366242023.219,3.703,10.768
498521558.377,3.776,9.772
574752929.726,4.502,10.841
674408558.958,4.522,10.469
621171306.095,4.443,10.501
704304914.286,4.500,9.757
567040430.297,4.202,10.370
426644931.625,4.229,11.833
506847589.969,4.173,11.410
323091372.505,3.552,11.225
538081045.284,4.159,10.730
493870050.940,4.109,11.028
738452647.379,4.625,10.051
641878016.622,4.533,10.463
539501505.620,4.174,10.449
462329829.542,4.210,11.412
621071273.677,4.313,10.258
625152596.331,4.475,10.364
642384847.540,4.478,10.118
329746862.716,3.334,10.664
503213078.781,4.034,10.766
548597786.831,4.214,10.731
513346362.725,4.433,11.203
545013291.852,4.419,10.857
594425971.934,4.303,10.497
550758487.060,4.358,11.005
732610754.168,4.709,9.711
879344973.727,5.046,10.005
379859769.724,3.442,10.677
515280322.807,4.031,10.651
401426759.046,3.678,9.995
516290650.229,3.912,10.149
478198305.452,3.793,10.069
414157551.444,3.777,10.644
574299449.431,4.505,11.421
666939471.746,4.629,10.369
472739869.843,3.980,10.579
729056268.914,4.866,10.328
791189738.152,4.872,10.018
598417265.412,4.204,10.373
510992266.488,4.005,10.871
340310286.058,3.608,10.595
798712175.986,4.082,8.338
405364701.901,3.944,11.356
482483027.356,4.353,11.445
340380308.750,3.608,11.320
498895012.737,4.186,10.769
472266383.064,4.100,10.919
603819015.984,4.461,10.893
