#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRWAndCount 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,1555504,77775,0.050
#EstTriByRWAndCountPerEdge
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
2.791,0.685,100.000,13.901 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
81.464,51.671

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
551566562.126,81.339,51.404
542297588.196,81.366,51.340
547971801.895,81.347,51.444
549026468.629,81.376,51.371
551278035.440,81.326,51.303
553953855.612,81.358,51.331
557078482.480,81.324,51.388
554049488.952,81.335,51.310
553594155.589,81.333,51.184
548078028.568,81.412,51.419
554179728.960,81.342,51.427
542016181.512,81.464,51.592
0.000,0.000,0.001
549525515.328,81.332,51.526
547029788.501,81.360,51.498
553697815.596,81.356,51.446
560878882.724,81.303,51.285
548860295.285,81.343,51.399
553784208.935,81.304,51.326
549805675.346,81.359,51.397
561150822.742,81.304,51.270
551250828.772,81.345,51.355
546732608.482,81.348,51.414
552786288.871,81.427,51.450
549157448.637,81.418,51.583
550341955.380,81.300,51.274
546515341.801,81.449,51.456
550851048.746,81.371,51.448
549713662.007,81.408,51.466
550664302.068,81.382,51.329
549531568.662,81.391,51.454
538056574.590,81.411,51.521
545724935.083,81.339,51.427
550689928.736,81.385,51.490
563962749.589,81.290,51.352
550660255.401,81.311,51.326
549240881.976,81.384,51.344
552168868.831,81.360,51.483
548686408.607,81.322,51.400
559257362.620,81.332,51.416
550412948.718,81.309,51.282
556344809.100,81.353,51.372
554783848.999,81.328,51.284
553668448.927,81.413,51.481
549895415.352,81.354,51.415
550741622.073,81.427,51.455
549630062.001,81.362,51.467
543818568.294,81.418,51.504
551859262.145,81.360,51.430
550938968.752,81.366,51.440
546673035.144,81.348,51.390
549969035.356,81.389,51.351
557090802.481,81.286,51.365
557802029.193,81.339,51.425
542459608.207,81.419,51.671
546779975.151,81.355,51.475
550672068.735,81.332,51.429
547179841.844,81.386,51.524
550931442.085,81.392,51.533
559556375.973,81.354,51.310
549486628.659,81.380,51.511
548456328.592,81.427,51.496
554774162.332,81.361,51.431
544246708.322,81.355,51.418
556772282.460,81.302,51.285
554856755.671,81.315,51.323
542150934.854,81.377,51.579
556118395.752,81.289,51.261
545673728.414,81.329,51.512
543535121.609,81.398,51.459
558274555.890,81.298,51.329
548401895.256,81.368,51.375
559228302.618,81.346,51.402
552781802.204,81.344,51.459
557349269.164,81.406,51.384
551855355.478,81.397,51.473
550625902.065,81.416,51.569
543203634.921,81.399,51.409
549842295.348,81.325,51.345
555554389.049,81.349,51.312
546144141.777,81.311,51.435
0.000,0.000,0.000
560385602.693,81.323,51.300
556962282.473,81.355,51.292
551366788.780,81.334,51.371
555172422.358,81.344,51.495
549717375.340,81.359,51.366
552254688.837,81.313,51.273
553171975.562,81.271,51.335
542310961.531,81.382,51.470
553288528.903,81.356,51.351
548596128.601,81.415,51.655
554053468.952,81.354,51.447
543254501.591,81.392,51.520
552415482.180,81.346,51.507
557135555.817,81.425,51.358
556194455.757,81.238,51.306
562688642.841,81.289,51.263
549510968.660,81.395,51.434
549508621.993,81.347,51.447
