#Filename = graphs/graph_in_edges_format/soc-flickr-und.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
1715255,31110082,548658705
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,3111,155,0.000
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
18.403,12.512,100.000,20.547 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.022,0.303

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
726636821.843,0.022,0.300
522094642.343,0.021,0.282
533584671.151,0.021,0.295
569763095.192,0.021,0.296
0.000,0.000,0.000
549044709.913,0.021,0.296
626346570.392,0.021,0.295
639148269.156,0.021,0.297
674493357.774,0.021,0.286
596278161.671,0.021,0.296
607631523.470,0.021,0.299
594258156.606,0.021,0.288
575601443.163,0.021,0.285
0.000,0.000,0.000
496637911.850,0.021,0.291
562014742.431,0.021,0.298
662194993.606,0.021,0.291
585666468.398,0.021,0.298
562313076.513,0.021,0.285
558519733.669,0.021,0.295
539033018.144,0.021,0.297
629459911.532,0.021,0.287
590001479.267,0.021,0.292
595446492.919,0.021,0.294
569131426.941,0.021,0.297
584649799.183,0.021,0.298
640701606.384,0.022,0.299
728048492.049,0.021,0.298
586298136.649,0.021,0.293
616214878.323,0.021,0.298
676578363.002,0.021,0.295
551359715.717,0.021,0.296
498094582.169,0.020,0.275
616896546.699,0.021,0.288
600616505.881,0.021,0.299
689661729.138,0.021,0.296
702950095.788,0.021,0.281
563289745.628,0.021,0.292
548468041.800,0.021,0.290
768290259.611,0.021,0.291
550574713.749,0.021,0.269
551936383.829,0.020,0.281
723348480.265,0.021,0.295
544268031.270,0.021,0.292
0.000,0.000,0.000
490587896.681,0.019,0.262
601299840.928,0.021,0.289
514917957.682,0.021,0.286
499967920.199,0.021,0.293
636686596.317,0.021,0.288
565466417.752,0.021,0.297
581466457.868,0.022,0.302
653629972.131,0.021,0.296
657201647.753,0.022,0.294
559398069.204,0.020,0.280
361905907.380,0.019,0.234
498306249.366,0.021,0.291
617308214.398,0.021,0.287
604204848.212,0.021,0.286
570818097.837,0.021,0.290
0.000,0.000,0.000
694756741.912,0.022,0.296
540274687.924,0.021,0.300
685288384.840,0.021,0.293
566178086.203,0.021,0.293
690348397.526,0.021,0.288
665651668.939,0.021,0.287
833630423.433,0.022,0.289
742595195.187,0.021,0.292
627639906.968,0.021,0.289
479877869.829,0.020,0.284
559246402.157,0.021,0.294
674156690.263,0.022,0.294
700550089.771,0.021,0.298
757500232.558,0.021,0.289
736475179.843,0.022,0.298
838648769.349,0.022,0.285
477521197.254,0.021,0.294
543841363.533,0.020,0.277
690868398.830,0.022,0.303
542249692.876,0.021,0.293
631491583.292,0.021,0.292
658638318.022,0.022,0.296
586269803.244,0.021,0.286
655533310.237,0.021,0.290
609403194.578,0.021,0.285
484766215.419,0.021,0.292
618784884.767,0.021,0.296
488386224.495,0.020,0.281
648904960.285,0.021,0.293
623281562.708,0.022,0.296
541549691.121,0.021,0.290
604909849.979,0.021,0.297
689901729.740,0.021,0.291
629813245.751,0.021,0.297
732423503.018,0.022,0.296
710490114.693,0.022,0.300
725193484.891,0.022,0.279
750673548.775,0.022,0.296
761723576.480,0.022,0.296
