#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByEdgeSampleAndCount 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,2552,127,0.000
#EstTriByEdgeSampleAndCount
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
3.801,2.935,14.690,3.181 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
12.203,15.467

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
65015877.643,12.199,14.841
55357009.245,11.506,15.442
60105181.931,11.469,15.152
65380095.909,12.028,14.935
55710392.643,11.691,15.274
59995166.345,11.718,14.971
60021836.790,11.665,14.727
54090163.100,11.248,14.968
57929040.298,11.269,15.068
62014619.113,11.817,14.783
57976547.028,11.630,15.037
61269513.552,11.509,14.866
57213105.536,11.639,15.177
58273255.730,11.594,14.746
57135594.555,11.608,15.439
57201437.216,11.420,14.954
56917230.285,11.352,15.164
56242968.094,11.575,15.195
54808598.216,11.095,15.021
60366052.223,12.096,15.310
54157672.665,11.399,14.968
66424410.527,11.978,14.860
57454806.445,11.365,15.175
60816115.984,12.203,15.324
56632189.903,11.554,14.940
56869723.555,11.609,15.347
55527866.784,11.673,15.354
59505930.367,11.563,14.955
54350199.940,11.560,15.436
58405774.505,11.404,15.157
59565105.417,11.480,14.872
58452447.784,11.447,14.832
60352717.000,11.608,14.966
59320070.702,11.362,14.866
55957927.712,11.126,14.928
57478143.085,11.269,15.065
58479951.680,11.778,15.096
55771234.596,11.429,14.835
59760966.498,11.179,14.481
57299784.483,11.707,14.966
57313953.157,11.295,15.035
62982256.201,11.817,14.815
60505238.608,11.808,15.313
64697499.204,11.720,14.632
58681646.922,11.415,15.112
56122951.091,11.586,14.760
60658593.668,11.329,14.719
55535367.846,11.261,15.158
56372153.063,11.384,14.781
58194077.846,11.873,15.104
57425635.646,11.637,15.134
61543719.066,11.464,14.827
57554820.614,11.528,14.958
56970571.176,11.793,15.130
58424943.887,11.187,14.569
60165190.433,11.944,14.991
58528291.862,11.318,14.913
58159906.339,11.559,14.796
59470091.956,11.832,15.419
52881658.555,11.313,15.156
52066543.075,11.160,15.042
56369652.708,11.223,15.037
61465374.633,12.013,15.045
67404549.386,12.019,14.539
58343265.649,11.640,15.000
55527866.784,11.141,14.722
58258253.605,11.549,15.113
60802780.762,11.673,15.123
57582324.511,11.701,15.210
59555937.451,11.778,15.127
57256445.009,11.211,14.694
56423827.050,11.375,14.974
57784019.752,11.406,14.945
58676646.213,11.885,15.301
55661219.009,11.479,15.013
57844028.254,11.517,15.272
58309927.592,11.781,15.467
57572323.094,11.779,15.255
54765258.743,11.408,14.881
59054199.702,11.479,15.241
59175883.608,11.217,14.649
58860005.524,11.643,15.304
52581616.047,11.347,15.230
59951826.871,11.398,14.581
60496070.643,11.751,15.177
54536893.056,11.158,14.988
62082128.677,11.537,14.891
52428260.987,11.648,15.412
59191719.185,11.540,15.096
61843761.574,11.420,14.886
55307002.160,11.395,15.068
59298400.966,11.570,14.878
58931682.345,11.791,14.973
59972663.157,11.766,15.350
58859172.072,11.711,15.054
53083353.796,10.998,14.769
60746939.517,11.611,15.160
60832785.013,12.022,15.132
60901961.480,11.390,14.379
55612045.376,11.338,15.073
