#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRW 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,15952,797,0.003
#EstTriByRW
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
8420.079,7740.563,17650.164,2487.575 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.247,1.196

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
6016000000.000,0.243,1.149
5056000000.000,0.243,1.146
2688000000.000,0.246,1.165
8768000000.000,0.241,1.128
5120000000.000,0.244,1.143
4160000000.000,0.244,1.159
5376000000.000,0.243,1.143
4864000000.000,0.245,1.140
4224000000.000,0.242,1.162
4608000000.000,0.241,1.149
4160000000.000,0.245,1.143
5760000000.000,0.242,1.143
4864000000.000,0.246,1.151
2880000000.000,0.247,1.150
5824000000.000,0.243,1.139
5568000000.000,0.243,1.134
3648000000.000,0.246,1.117
4416000000.000,0.246,1.144
7424000000.000,0.241,1.106
4224000000.000,0.242,1.132
4352000000.000,0.244,1.176
3264000000.000,0.241,1.140
6592000000.000,0.225,1.056
3968000000.000,0.244,1.137
4288000000.000,0.242,1.151
4352000000.000,0.243,1.159
5184000000.000,0.244,1.138
4608000000.000,0.244,1.150
5760000000.000,0.239,1.136
4928000000.000,0.245,1.180
6592000000.000,0.243,1.174
2688000000.000,0.244,1.144
4864000000.000,0.245,1.156
4608000000.000,0.244,1.130
3968000000.000,0.246,1.150
4480000000.000,0.244,1.139
6976000000.000,0.244,1.175
6080000000.000,0.242,1.149
3584000000.000,0.242,1.153
4224000000.000,0.242,1.139
4160000000.000,0.245,1.150
6592000000.000,0.242,1.133
7488000000.000,0.241,1.123
5504000000.000,0.241,1.136
4352000000.000,0.244,1.147
9344000000.000,0.239,1.075
4992000000.000,0.243,1.149
5632000000.000,0.242,1.131
6528000000.000,0.244,1.123
5440000000.000,0.243,1.151
3968000000.000,0.243,1.158
3328000000.000,0.245,1.174
6464000000.000,0.245,1.126
5824000000.000,0.243,1.165
3456000000.000,0.243,1.154
4416000000.000,0.243,1.127
2688000000.000,0.246,1.148
4544000000.000,0.243,1.159
7680000000.000,0.236,1.129
4928000000.000,0.244,1.144
4608000000.000,0.241,1.131
4800000000.000,0.242,1.171
5504000000.000,0.245,1.169
4480000000.000,0.246,1.143
3776000000.000,0.243,1.149
3968000000.000,0.245,1.157
3776000000.000,0.245,1.159
6464000000.000,0.239,1.100
3264000000.000,0.247,1.145
4032000000.000,0.244,1.188
3840000000.000,0.246,1.177
3776000000.000,0.242,1.150
6336000000.000,0.245,1.129
5568000000.000,0.238,1.135
4800000000.000,0.243,1.141
10432000000.000,0.245,1.145
3328000000.000,0.243,1.155
3776000000.000,0.245,1.139
4544000000.000,0.245,1.180
3904000000.000,0.244,1.170
4352000000.000,0.244,1.151
5568000000.000,0.242,1.105
4992000000.000,0.244,1.103
5248000000.000,0.241,1.130
3200000000.000,0.243,1.130
9152000000.000,0.241,1.139
4288000000.000,0.244,1.165
3328000000.000,0.243,1.116
7168000000.000,0.244,1.176
4480000000.000,0.244,1.156
4608000000.000,0.240,1.167
4992000000.000,0.244,1.130
3712000000.000,0.245,1.159
6016000000.000,0.244,1.163
3904000000.000,0.244,1.168
3520000000.000,0.246,1.144
7616000000.000,0.244,1.124
5056000000.000,0.244,1.196
5952000000.000,0.243,1.179
6272000000.000,0.241,1.136
