#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWAndCountPerEdge 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,44666,2233,0.007
#SERWC
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
7.076,6.375,21.561,4.811 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
43.729,29.933

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
50776610.965,42.194,29.293
61104639.188,42.942,28.720
66864348.150,43.107,28.405
60171156.143,43.298,28.836
59092529.175,43.215,28.730
52087620.592,43.151,29.774
53493345.201,43.116,29.270
66165914.450,43.155,28.033
61126877.447,43.327,28.493
60797494.076,42.963,28.632
54894403.108,42.642,29.211
64323805.685,42.788,28.305
50105129.844,42.558,29.589
50433037.014,42.464,29.514
61810168.179,43.283,28.468
65927388.889,43.058,28.246
61848835.129,43.206,28.656
62880842.708,43.092,28.511
51646712.593,42.615,29.780
53638631.982,42.748,29.649
52265050.467,42.533,29.487
63164225.741,43.128,28.817
61326069.386,43.174,28.673
57310516.089,42.919,29.108
53761394.788,42.882,29.088
51357710.470,42.939,29.425
59121672.246,42.844,28.884
58007997.401,42.915,28.381
64132613.805,42.734,28.501
59215530.078,43.183,28.676
53216866.980,42.941,29.270
53692203.804,42.526,29.281
61303021.597,43.383,28.658
63527466.504,43.035,28.846
57354183.076,42.443,28.879
60499777.604,42.919,28.731
63651038.840,42.969,28.122
60388872.027,43.126,28.511
61996121.925,42.948,28.664
61887121.125,42.882,28.628
66609631.994,43.435,28.410
66004389.455,43.160,28.174
64839285.661,43.401,28.557
57801376.836,43.469,29.039
56027268.570,42.601,28.890
60050869.545,43.145,28.878
56225031.927,43.169,28.996
63424846.703,43.374,28.753
52328431.884,42.747,29.218
62709984.310,42.841,28.469
67227588.913,42.912,28.178
53923586.455,42.595,29.190
68523122.236,43.507,28.081
64008565.275,43.487,28.693
59515770.378,43.220,29.075
61107067.778,43.043,28.613
63278321.817,42.238,28.357
55024737.399,42.908,28.847
58193522.573,42.689,28.759
68287215.742,43.529,28.323
55409692.606,42.787,29.297
56321842.162,42.499,28.896
58416143.255,42.446,29.227
69483462.622,43.190,28.416
58777050.667,42.943,29.011
60731874.546,43.014,28.939
53205152.608,43.026,29.425
61672310.024,43.097,28.702
47412871.978,42.175,29.552
57561851.268,42.761,29.052
51217566.584,42.772,29.687
56669130.426,42.788,29.121
54105349.695,42.677,29.077
58750050.469,43.078,28.940
57580184.736,43.121,28.810
55677599.336,43.503,29.223
57170086.486,43.158,29.319
63579990.699,43.399,28.976
65369146.694,43.729,28.136
56380699.737,43.453,29.155
56103602.464,42.637,29.053
54104349.688,43.538,28.984
60561873.298,42.670,28.830
55981411.090,43.437,29.167
55151357.376,42.794,28.846
64876809.746,43.183,28.412
64835190.393,42.765,28.379
63045272.487,43.460,28.296
61404831.869,43.100,28.750
46099576.620,42.445,29.933
56916275.098,43.106,28.866
55459454.877,42.704,28.820
57579089.489,42.960,28.860
54253446.021,42.493,28.976
58937432.798,42.443,28.714
57447136.140,42.596,28.822
61073115.147,43.094,28.929
48477832.180,42.739,29.789
59828153.624,42.949,28.652
51652950.734,42.785,29.621
