#Filename = graphs/graph_in_edges_format/soc-flickr.edges , Algo name = EstTriByRWandNborSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
513969,6380904,58771288
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,47856,2392,0.007
#EstTriByRWandNborSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
4.340,3.861,13.230,3.021 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
1.536,7.145

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
55788842.615,1.500,7.044
56072625.018,1.504,6.964
59268588.219,1.512,6.933
51862689.735,1.506,7.080
66287435.950,1.533,6.693
61835341.165,1.517,6.767
60363650.512,1.500,6.726
57409046.800,1.497,6.907
56129559.279,1.512,7.019
52981530.193,1.503,7.053
57627717.031,1.500,6.929
60147046.981,1.521,6.829
54979718.316,1.487,7.004
64857679.314,1.527,6.689
65179817.897,1.536,6.671
56221427.443,1.499,6.950
53856188.893,1.498,7.093
59793507.886,1.514,6.869
59972977.477,1.522,6.904
62101389.945,1.520,6.877
57446558.522,1.509,6.986
61795362.735,1.525,6.804
56373918.818,1.502,7.019
58109658.219,1.511,6.955
55046630.518,1.503,7.033
58087168.964,1.500,6.909
57022284.941,1.509,6.978
57916543.960,1.501,6.897
65857851.171,1.532,6.681
59814974.902,1.502,6.762
56026846.494,1.485,6.912
62649154.429,1.514,6.730
60120224.322,1.517,6.877
56465520.311,1.510,6.893
59248210.109,1.510,6.896
54266795.586,1.492,6.988
63078339.202,1.524,6.875
53874855.864,1.503,7.026
59744529.310,1.511,6.886
60644543.979,1.516,6.844
54539533.364,1.504,7.001
55052652.838,1.509,6.942
60756168.020,1.521,6.895
59339967.160,1.515,6.883
60377206.288,1.510,6.828
63543057.887,1.514,6.813
58061635.214,1.518,6.980
62950270.448,1.521,6.753
58871515.081,1.504,6.825
60528653.201,1.512,6.856
57053241.001,1.508,7.006
57627339.247,1.500,6.891
59663883.551,1.514,6.874
57887654.601,1.503,6.918
61291265.630,1.515,6.831
56212471.742,1.493,6.946
54271929.003,1.494,7.030
58965138.829,1.501,6.804
54732825.403,1.514,7.145
57041618.589,1.506,6.939
60276693.539,1.521,6.787
62445484.443,1.509,6.830
60438096.169,1.516,6.871
61040483.765,1.524,6.827
59038806.696,1.519,6.928
60957215.741,1.513,6.805
58300861.335,1.511,6.907
59714106.592,1.513,6.836
57264377.775,1.511,6.903
57361912.698,1.510,6.977
56626367.377,1.489,6.882
58028923.570,1.511,6.967
61587803.797,1.510,6.850
61794584.945,1.520,6.837
53661719.057,1.498,7.062
61167508.058,1.519,6.822
59804196.949,1.506,6.910
62345927.264,1.520,6.833
63330032.193,1.523,6.799
55795731.616,1.498,7.006
57537026.664,1.517,6.917
61084951.157,1.510,6.845
64793856.051,1.516,6.720
58616710.928,1.494,6.913
60804324.361,1.516,6.775
56785325.523,1.504,6.973
60320116.469,1.512,6.871
61504691.331,1.507,6.747
61709227.998,1.506,6.723
59680683.825,1.514,6.895
57543804.552,1.502,6.867
60239359.597,1.516,6.910
66546840.178,1.522,6.613
57862631.971,1.498,6.978
63324054.318,1.520,6.794
55531593.978,1.499,7.066
56052469.134,1.514,7.091
56178426.743,1.504,6.982
58897337.724,1.510,6.882
55018118.942,1.497,6.920
