#Filename = graphs/graph_in_edges_format/soc-friendster.edges , Algo name = EstTriByRWandWghtedSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
65608366,3612134270,4173724142
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,9030335,451516,0.003
#EstTriByRWandWghtedSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
1.103,0.933,4.912,0.823 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.262,9.975

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
4216328252.431,0.262,9.970
4070152308.475,0.262,9.966
4207257042.816,0.262,9.961
4263069113.641,0.262,9.962
4102980008.020,0.262,9.963
4227826911.644,0.262,9.966
4122477486.979,0.262,9.964
4138492050.388,0.262,9.965
4202242569.252,0.262,9.963
4206532932.903,0.262,9.964
4103697947.271,0.262,9.968
4199193274.751,0.262,9.964
4245383003.786,0.262,9.969
4086012534.014,0.262,9.964
4171285854.631,0.262,9.969
4189088147.319,0.262,9.964
4111821797.432,0.262,9.961
4093841345.047,0.262,9.967
4190503159.288,0.262,9.958
4210991787.595,0.262,9.965
4180760104.378,0.262,9.965
4165919065.547,0.262,9.961
4176513378.102,0.262,9.961
4162593264.734,0.262,9.975
4234536504.571,0.262,9.961
4143723466.797,0.262,9.964
4111387066.804,0.262,9.960
4176101274.070,0.262,9.973
4243855586.420,0.262,9.964
4221246708.623,0.262,9.968
4114188145.404,0.262,9.964
4172793118.461,0.262,9.965
4123448163.777,0.262,9.968
4221670482.171,0.262,9.975
4116806537.901,0.262,9.958
4205985034.060,0.262,9.969
4087014539.264,0.262,9.966
4195012061.967,0.262,9.962
4199882581.679,0.262,9.966
4094359831.560,0.262,9.963
4233921173.756,0.262,9.969
4208496299.299,0.262,9.964
4106487691.332,0.262,9.963
4259326923.033,0.262,9.965
4182270358.131,0.262,9.964
4186270624.876,0.262,9.964
4291881366.465,0.262,9.967
4183682258.821,0.262,9.963
4210804083.784,0.262,9.963
4163503704.150,0.262,9.970
4157952807.337,0.262,9.964
4208875745.137,0.262,9.964
4073049696.340,0.262,9.968
4235621961.713,0.262,9.966
4194119136.747,0.262,9.966
4254557750.762,0.262,9.965
3968727743.018,0.262,9.965
4180569336.990,0.262,9.958
4130937382.565,0.262,9.964
4154860527.148,0.262,9.967
4254363838.944,0.262,9.963
4187675150.485,0.262,9.963
4200652332.296,0.262,9.962
4197400987.190,0.262,9.961
4166974041.046,0.262,9.962
4258732993.001,0.262,9.964
4136369318.284,0.262,9.959
4180588744.718,0.262,9.967
4191825940.748,0.262,9.971
4134781800.522,0.262,9.960
4205371651.382,0.262,9.964
4167140604.734,0.262,9.966
4222086362.820,0.262,9.965
4097469248.091,0.262,9.964
4116190489.669,0.262,9.954
4181984488.464,0.262,9.970
4143657950.278,0.262,9.971
4250192241.738,0.262,9.966
4125600669.596,0.262,9.970
4197846480.935,0.262,9.969
4222648243.219,0.262,9.960
4167028605.266,0.262,9.959
4086546659.933,0.262,9.961
4201578585.129,0.262,9.961
4226269311.314,0.262,9.968
4121228029.556,0.262,9.962
4150955896.396,0.262,9.959
4193878701.727,0.262,9.964
4219955707.187,0.262,9.971
4281145817.480,0.262,9.966
4058755492.030,0.262,9.964
4078193174.214,0.262,9.964
4175238662.696,0.262,9.970
4102340847.735,0.262,9.965
4274443799.140,0.262,9.962
4239413006.742,0.262,9.968
4196816276.955,0.262,9.966
4197226649.227,0.262,9.963
4176358703.220,0.262,9.959
4256195256.265,0.262,9.964
