#Filename = graphs/graph_in_edges_format/soc-twitter-konect.edges , Algo name = EstTriByRWandWghtedSampling 
########################
#Graph Properties
########################
vertices,edges,triangles
41652230,2405026092,34824916864
no_of_repeat,seed_count,walk_length,subsample_size,sparsification_prob
100,1,24050,1202,0.000
#EstTriByRWandWghtedSampling
#Results: Mean Err, Median Err, Max Err, stddev Err (in %) of simple sampling
11.641,10.691,40.665,7.976 

Fraction of edges seen, fraction of vertices seen(maximum over all run)
0.001,0.054

triangle_estimate,fraction_of_edges_seen,fraction_of_vertices_seen
26321135473.402,0.001,0.054
33238793717.384,0.001,0.053
39251982872.622,0.001,0.054
33761615570.815,0.001,0.053
30127213287.801,0.001,0.054
38529163757.917,0.001,0.054
28365120210.880,0.001,0.054
31132372404.033,0.001,0.054
39608104581.425,0.001,0.054
32784525145.122,0.001,0.054
33754533505.629,0.001,0.054
30303501473.220,0.001,0.054
40856490462.868,0.001,0.054
35072223425.137,0.001,0.053
30883982937.222,0.001,0.054
30470645091.877,0.001,0.053
31101929145.303,0.001,0.053
32073739813.217,0.001,0.054
32461989283.218,0.001,0.053
39132747926.802,0.001,0.053
38258685324.343,0.001,0.053
39425297606.482,0.001,0.053
32279350238.549,0.001,0.054
33306348651.615,0.001,0.054
39624570234.270,0.001,0.053
31834977821.903,0.001,0.053
28209492232.963,0.001,0.054
29555629798.868,0.001,0.054
36866665022.722,0.001,0.054
43228079628.052,0.001,0.054
37041881399.509,0.001,0.054
36658080397.070,0.001,0.054
28390666328.295,0.001,0.054
30036745833.778,0.001,0.053
33844528575.159,0.001,0.054
28567738548.843,0.001,0.053
28574645861.716,0.001,0.054
39114808214.704,0.001,0.053
28411537852.566,0.001,0.054
30985991406.635,0.001,0.053
22485730136.173,0.001,0.053
41956860678.596,0.001,0.054
32980928315.823,0.001,0.054
32729840442.033,0.001,0.054
38145751819.600,0.001,0.054
31200590199.032,0.001,0.054
38320557002.241,0.001,0.054
34124427410.435,0.001,0.053
31804940682.387,0.001,0.054
39343463357.601,0.001,0.053
33205098842.679,0.001,0.054
36959751390.348,0.001,0.054
28553052241.425,0.001,0.054
35374658403.409,0.001,0.053
48986619098.813,0.001,0.054
30473339131.088,0.001,0.053
39707381698.411,0.001,0.054
35063247911.789,0.001,0.054
34467833174.296,0.001,0.054
32350244227.308,0.001,0.054
35502343399.306,0.001,0.054
31841966666.443,0.001,0.054
38078140437.169,0.001,0.053
28298001512.663,0.001,0.054
37323586868.362,0.001,0.054
39994844301.270,0.001,0.054
36635980822.870,0.001,0.054
42555360183.332,0.001,0.053
36582268093.721,0.001,0.053
30384645365.193,0.001,0.054
30141460447.359,0.001,0.054
31802745775.047,0.001,0.054
28397585538.136,0.001,0.054
36409483856.465,0.001,0.053
46731245753.515,0.001,0.054
33745598050.952,0.001,0.054
37313303146.145,0.001,0.053
36013526149.759,0.001,0.054
31725199842.242,0.001,0.054
43405761672.188,0.001,0.054
28637026488.564,0.001,0.053
36241188103.845,0.001,0.054
27464841725.005,0.001,0.053
39663514167.586,0.001,0.054
42395906373.560,0.001,0.054
40156805376.181,0.001,0.054
38815424683.846,0.001,0.053
33538107613.543,0.001,0.054
31313447871.007,0.001,0.053
34911106202.975,0.001,0.054
33638791567.755,0.001,0.054
34080259044.400,0.001,0.053
24702364500.461,0.001,0.053
38732568210.898,0.001,0.054
34992002130.527,0.001,0.054
40891978659.857,0.001,0.054
29709212163.910,0.001,0.054
40153372019.465,0.001,0.054
35786290822.598,0.001,0.054
45199489243.724,0.001,0.054
